"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,1,1,1,1,1,0,0,20220131,20221210
2,0,0,0,0,0,0,1,20220131,20221210
3,0,0,0,0,0,1,0,20220131,20221210
4,1,1,1,1,1,0,0,20220131,20221210
5,0,0,0,0,0,1,0,20220131,20221210
6,0,0,0,0,0,0,1,20220131,20221210
7,1,1,1,1,1,0,0,20220131,20221210
8,0,0,0,0,0,1,0,20220131,20221210
9,0,0,0,0,0,0,1,20220131,20221210
10,1,1,1,1,1,0,0,20220131,20221210
11,0,0,0,0,0,0,0,20220131,20221210
12,0,0,0,0,0,0,0,20220131,20221210
13,0,1,1,0,0,0,0,20220131,20221210
14,1,1,1,1,1,0,0,20220131,20221210
15,0,0,0,0,0,0,0,20220131,20221210
16,0,1,0,0,1,0,0,20220131,20221210
17,0,0,0,0,0,0,0,20220131,20221210
18,0,1,1,0,0,0,0,20220131,20221210
19,1,1,1,1,0,0,0,20220131,20221210
20,0,1,1,1,0,0,0,20220131,20221210
21,0,0,0,0,0,0,0,20220131,20221210
22,0,0,0,0,0,0,0,20220131,20221210
23,0,0,0,0,0,1,0,20220131,20221210
24,0,0,0,0,0,0,1,20220131,20221210
25,0,0,0,0,0,0,0,20220131,20221210
26,0,0,0,0,0,1,0,20220131,20221210
27,0,0,0,0,0,0,0,20220131,20221210
28,0,0,0,0,0,0,0,20220131,20221210
29,0,0,0,0,0,0,0,20220131,20221210
30,0,0,0,0,0,0,1,20220131,20221210
31,0,0,0,0,0,0,0,20220131,20221210
32,0,0,1,0,0,0,0,20220131,20221210
33,0,0,0,0,1,0,0,20220131,20221210
34,0,0,0,0,0,0,0,20220131,20221210
35,0,0,0,0,0,1,0,20220131,20221210
36,0,0,0,0,0,0,0,20220131,20221210
37,0,0,0,0,0,0,1,20220131,20221210
38,0,1,0,0,1,0,0,20220131,20221210
39,1,0,1,1,0,0,0,20220131,20221210
40,0,0,1,0,0,0,0,20220131,20221210
41,1,1,0,1,1,0,0,20220131,20221210
42,0,0,0,0,1,0,0,20220131,20221210
43,0,0,0,0,0,0,0,20220131,20221210
44,0,1,0,1,0,0,0,20220131,20221210
45,0,0,0,0,0,0,0,20220131,20221210
46,0,0,0,0,0,0,0,20220131,20221210
47,0,0,0,0,0,0,0,20220131,20221210
48,0,0,0,0,0,0,0,20220131,20221210
49,0,0,0,0,0,0,0,20220131,20221210
50,0,0,0,0,0,0,0,20220131,20221210
51,0,0,0,0,0,0,0,20220131,20221210
52,0,0,0,0,0,0,0,20220131,20221210
53,0,0,0,1,0,0,0,20220131,20221210
54,0,0,0,0,0,0,0,20220131,20221210
55,0,0,0,0,0,0,1,20220131,20221210
56,0,0,0,0,0,0,0,20220131,20221210
57,0,0,0,0,0,0,0,20220131,20221210
58,1,0,1,0,1,0,0,20220131,20221210
59,0,0,0,0,0,0,0,20220131,20221210
60,1,1,1,1,1,0,0,20220131,20221210
61,1,0,1,0,1,0,0,20220131,20221210
62,0,0,0,0,0,0,0,20220131,20221210
63,0,0,0,1,0,0,0,20220131,20221210
64,0,0,0,0,0,0,0,20220131,20221210
65,0,0,0,0,0,0,0,20220131,20221210
66,0,0,0,0,0,1,0,20220131,20221210
67,0,0,0,0,0,0,1,20220131,20221210
68,0,0,0,0,0,0,0,20220131,20221210
69,0,0,0,0,0,0,0,20220131,20221210
70,0,0,0,0,0,0,0,20220131,20221210
71,0,0,0,0,0,0,0,20220131,20221210
72,0,0,0,0,0,0,0,20220131,20221210
73,0,0,0,0,0,0,0,20220131,20221210
74,0,0,0,0,0,0,0,20220131,20221210
75,0,0,0,0,0,0,0,20220131,20221210
76,0,0,0,0,0,0,0,20220131,20221210
77,0,0,0,0,0,0,0,20220131,20221210
78,0,0,0,0,0,0,0,20220131,20221210
79,0,0,0,0,0,0,0,20220131,20221210
80,0,0,0,0,0,0,0,20220131,20221210
81,0,0,0,0,0,0,0,20220131,20221210
82,0,0,0,0,0,0,0,20220131,20221210
83,0,0,0,0,0,0,0,20220131,20221210
84,0,0,0,0,0,0,0,20220131,20221210
85,0,0,0,0,0,0,0,20220131,20221210
86,0,0,0,0,0,0,0,20220131,20221210
87,0,0,0,0,0,0,0,20220131,20221210
88,0,0,0,0,0,0,0,20220131,20221210
89,0,0,0,0,0,0,0,20220131,20221210
90,0,0,0,0,0,0,0,20220131,20221210
91,0,0,0,0,0,0,0,20220131,20221210
92,0,0,0,0,0,0,0,20220131,20221210
93,1,1,1,1,1,0,0,20220131,20221210
94,1,0,1,1,0,0,0,20220131,20221210
95,0,0,0,0,0,0,0,20220131,20221210
96,1,1,1,1,1,0,0,20220131,20221210
97,0,0,0,0,1,1,0,20220131,20221210
98,0,0,0,0,0,1,0,20220131,20221210
99,0,0,0,0,1,1,0,20220131,20221210
100,0,0,0,0,0,1,0,20220131,20221210
101,0,0,0,0,0,0,0,20220131,20221210
102,0,0,0,0,0,0,0,20220131,20221210
103,0,0,0,0,1,1,0,20220131,20221210
104,0,0,0,0,0,0,1,20220131,20221210
105,0,0,0,0,0,1,1,20220131,20221210
106,1,1,1,1,1,1,1,20220131,20221210
107,1,1,1,1,1,1,0,20220131,20221210
108,0,0,0,0,1,0,0,20220131,20221210
109,1,1,1,1,1,0,0,20220131,20221210
110,0,0,0,0,0,0,0,20220131,20221210
111,1,1,1,1,1,0,0,20220131,20221210
112,1,1,1,1,0,0,0,20220131,20221210
113,0,1,0,0,1,0,0,20220131,20221210
114,1,0,1,1,0,0,0,20220131,20221210
115,0,1,0,0,0,0,0,20220131,20221210
116,1,1,1,1,0,0,0,20220131,20221210
117,0,1,1,0,1,0,0,20220131,20221210
118,0,0,0,0,0,0,0,20220131,20221210
119,1,1,1,1,1,0,0,20220131,20221210
120,1,1,1,1,1,0,0,20220131,20221210
121,0,0,0,0,0,0,0,20220131,20221210
122,1,1,1,1,1,0,0,20220131,20221210
123,0,0,0,0,0,0,0,20220131,20221210
124,0,0,0,0,0,0,0,20220131,20221210
125,0,0,0,0,0,0,0,20220131,20221210
126,0,0,0,0,0,0,0,20220131,20221210
127,1,1,1,1,1,0,0,20220131,20221210
128,0,0,0,0,0,0,0,20220131,20221210
129,1,0,1,1,0,0,0,20220131,20221210
130,0,0,0,0,0,0,0,20220131,20221210
131,1,0,1,1,0,0,0,20220131,20221210
132,1,1,1,1,1,0,0,20220131,20221210
133,1,1,1,1,1,0,0,20220131,20221210
134,0,0,0,0,1,0,0,20220131,20221210
135,1,1,1,1,0,0,0,20220131,20221210
136,1,1,1,1,1,1,0,20220131,20221210
137,0,0,0,0,0,0,0,20220131,20221210
138,0,0,0,0,0,1,0,20220131,20221210
139,0,0,0,0,0,0,0,20220131,20221210
140,1,1,1,1,1,1,0,20220131,20221210
141,1,1,1,1,1,0,1,20220131,20221210
142,1,1,1,1,0,0,1,20220131,20221210
143,0,0,0,0,0,1,0,20220131,20221210
144,1,1,1,1,1,0,0,20220131,20221210
145,0,0,0,0,0,1,1,20220131,20221210
146,0,0,0,0,0,0,1,20220131,20221210
147,1,1,1,1,1,1,1,20220131,20221210
148,1,1,1,1,1,1,0,20220131,20221210
149,0,0,0,0,0,0,0,20220131,20221210
150,0,0,0,0,0,0,0,20220131,20221210
151,0,0,0,0,0,0,0,20220131,20221210
152,0,0,0,0,0,0,0,20220131,20221210
153,0,0,0,0,0,0,0,20220131,20221210
154,0,0,0,0,0,0,0,20220131,20221210
155,1,1,1,1,1,0,1,20220131,20221210
156,0,0,0,0,0,0,0,20220131,20221210
157,1,1,1,1,1,0,0,20220131,20221210
158,1,1,1,1,1,1,1,20220131,20221210
159,0,0,0,0,0,0,1,20220131,20221210
160,0,0,0,0,0,0,0,20220131,20221210
161,0,0,0,0,0,1,0,20220131,20221210
162,0,0,0,0,0,0,1,20220131,20221210
163,1,1,1,1,1,0,0,20220131,20221210
164,1,1,1,1,1,1,0,20220131,20221210
165,0,0,0,0,0,0,0,20220131,20221210
166,0,0,0,0,0,0,0,20220131,20221210
167,0,0,0,0,0,0,0,20220131,20221210
168,1,1,1,1,1,0,0,20220131,20221210
169,1,1,1,1,1,1,1,20220131,20221210
170,0,0,0,0,0,0,0,20220131,20221210
171,1,1,1,1,1,0,0,20220131,20221210
172,0,0,0,0,0,0,1,20220131,20221210
173,1,1,1,1,1,1,1,20220131,20221210
174,1,1,1,1,1,1,0,20220131,20221210
175,0,0,0,0,0,0,0,20220131,20221210
176,0,0,0,0,0,0,0,20220131,20221210
177,0,0,0,0,0,0,0,20220131,20221210
178,0,0,0,0,0,0,0,20220131,20221210
179,0,0,0,0,0,0,0,20220131,20221210
180,0,0,0,0,0,1,0,20220131,20221210
181,0,0,0,0,0,1,1,20220131,20221210
182,0,0,0,0,0,0,0,20220131,20221210
183,0,0,0,0,0,0,0,20220131,20221210
184,0,0,0,0,0,0,0,20220131,20221210
185,0,0,0,0,0,0,0,20220131,20221210
186,0,0,0,0,0,0,0,20220131,20221210
187,0,0,0,0,0,0,0,20220131,20221210
188,0,0,0,0,0,0,0,20220131,20221210
189,1,1,1,1,1,1,0,20220131,20221210
190,1,1,1,1,1,0,0,20220131,20221210
191,0,0,0,0,0,1,0,20220131,20221210
192,0,0,0,0,0,1,1,20220131,20221210
193,1,1,1,1,1,1,1,20220131,20221210
194,0,0,0,0,0,0,0,20220131,20221210
195,0,0,0,0,0,0,0,20220131,20221210
196,1,1,1,1,1,0,0,20220131,20221210
197,1,1,1,1,1,1,0,20220131,20221210
198,0,0,0,0,0,0,1,20220131,20221210
199,0,0,0,0,0,0,0,20220131,20221210
200,0,0,0,0,0,0,1,20220131,20221210
201,0,0,0,0,0,1,1,20220131,20221210
202,1,1,1,1,1,1,0,20220131,20221210
203,1,1,1,1,1,1,1,20220131,20221210
204,1,1,1,1,1,1,0,20220131,20221210
205,1,1,1,1,1,0,1,20220131,20221210
206,0,0,0,0,0,0,1,20220131,20221210
207,0,0,0,0,0,0,0,20220131,20221210
208,1,1,1,1,1,0,1,20220131,20221210
209,1,1,1,1,1,0,1,20220131,20221210
210,1,1,1,1,1,0,0,20220131,20221210
211,1,1,1,1,1,0,0,20220131,20221210
212,0,1,1,0,0,0,0,20220131,20221210
213,0,0,0,0,0,1,1,20220131,20221210
214,0,0,0,0,0,0,0,20220131,20221210
215,0,0,0,0,0,1,0,20220131,20221210
216,1,1,1,1,0,1,1,20220131,20221210
217,1,1,1,1,0,0,1,20220131,20221210
218,0,0,0,0,1,0,0,20220131,20221210
219,0,0,0,0,0,1,0,20220131,20221210
220,1,1,1,1,1,1,0,20220131,20221210
221,0,0,0,0,1,0,0,20220131,20221210
222,0,0,0,0,0,1,0,20220131,20221210
223,1,0,0,0,0,0,0,20220131,20221210
224,0,0,0,0,0,0,0,20220131,20221210
225,0,0,0,0,0,0,0,20220131,20221210
226,0,0,0,0,0,0,0,20220131,20221210
227,0,0,1,0,0,0,0,20220131,20221210
228,0,0,0,0,0,0,0,20220131,20221210
229,1,1,1,1,1,1,1,20220131,20221210
230,1,1,1,1,1,0,1,20220131,20221210
231,0,0,0,0,1,1,0,20220131,20221210
232,1,1,1,1,0,0,1,20220131,20221210
233,1,1,1,1,0,1,1,20220131,20221210
234,0,0,0,0,1,0,0,20220131,20221210
235,0,0,0,0,0,1,0,20220131,20221210
236,0,0,0,0,0,0,0,20220131,20221210
237,0,0,0,0,0,1,0,20220131,20221210
238,1,1,1,1,1,0,0,20220131,20221210
239,0,0,0,0,0,1,0,20220131,20221210
240,0,0,0,0,0,1,1,20220131,20221210
241,0,0,0,0,0,1,0,20220131,20221210
242,0,0,0,0,0,0,1,20220131,20221210
243,1,1,1,1,1,0,0,20220131,20221210
244,1,1,1,1,1,1,0,20220131,20221210
245,0,0,0,0,0,0,0,20220131,20221210
246,0,0,0,0,0,0,0,20220131,20221210
247,0,0,0,0,0,0,0,20220131,20221210
248,0,0,0,0,0,0,0,20220131,20221210
249,1,1,1,1,1,0,0,20220131,20221210
250,0,0,0,0,0,0,0,20220131,20221210
251,0,0,0,0,0,0,1,20220131,20221210
252,1,1,1,1,1,0,0,20220131,20221210
253,1,1,1,1,1,1,0,20220131,20221210
254,1,1,1,1,1,1,1,20220131,20221210
255,0,0,0,0,1,1,0,20220131,20221210
256,0,0,0,0,1,1,0,20220131,20221210
257,0,0,0,0,0,1,1,20220131,20221210
258,1,1,1,1,1,1,1,20220131,20221210
259,0,0,0,0,0,0,0,20220131,20221210
260,0,0,0,0,0,0,1,20220131,20221210
261,1,1,1,1,1,1,0,20220131,20221210
262,1,1,1,1,1,0,0,20220131,20221210
263,0,0,1,0,1,0,0,20220131,20221210
264,1,1,0,1,1,0,0,20220131,20221210
265,1,1,1,1,1,0,0,20220131,20221210
266,1,1,0,1,0,0,0,20220131,20221210
267,0,0,0,0,1,0,0,20220131,20221210
268,1,1,1,1,0,0,0,20220131,20221210
269,1,1,1,1,0,0,0,20220131,20221210
270,0,0,0,0,0,1,1,20220131,20221210
271,1,1,1,1,1,1,1,20220131,20221210
272,1,1,1,1,1,0,1,20220131,20221210
273,0,0,0,0,1,1,0,20220131,20221210
274,0,0,0,0,1,1,0,20220131,20221210
275,1,1,1,1,1,1,0,20220131,20221210
276,0,0,0,0,0,0,1,20220131,20221210
277,0,0,0,0,0,0,0,20220131,20221210
278,0,0,0,0,1,0,0,20220131,20221210
279,1,0,0,1,0,0,0,20220131,20221210
280,0,0,0,0,0,0,0,20220131,20221210
281,0,0,0,0,0,0,0,20220131,20221210
282,0,0,0,0,0,0,0,20220131,20221210
283,0,0,0,0,0,0,0,20220131,20221210
284,0,0,0,0,0,0,0,20220131,20221210
285,0,0,0,0,0,0,0,20220131,20221210
286,0,0,0,0,0,0,0,20220131,20221210
287,0,0,0,0,0,0,0,20220131,20221210
288,0,0,0,0,0,0,0,20220131,20221210
289,0,0,0,0,0,0,0,20220131,20221210
290,0,0,0,0,0,0,0,20220131,20221210
291,0,0,0,0,0,0,0,20220131,20221210
292,0,0,0,0,0,0,0,20220131,20221210
293,0,0,0,0,0,0,0,20220131,20221210
294,0,0,0,0,0,0,0,20220131,20221210
295,0,0,0,0,0,0,0,20220131,20221210
296,0,0,0,0,0,0,0,20220131,20221210
297,0,0,0,0,0,0,0,20220131,20221210
298,0,0,0,0,0,0,0,20220131,20221210
299,0,0,0,0,0,0,0,20220131,20221210
300,0,0,0,0,0,0,0,20220131,20221210
301,0,0,0,0,0,0,0,20220131,20221210
302,0,0,0,0,0,0,0,20220131,20221210
303,0,0,0,0,0,0,0,20220131,20221210
304,0,0,0,0,0,0,0,20220131,20221210
305,0,0,0,0,0,0,0,20220131,20221210
306,0,0,0,0,0,0,0,20220131,20221210
307,0,0,0,0,0,0,0,20220131,20221210
308,0,0,0,0,0,0,0,20220131,20221210
309,0,0,0,0,0,0,0,20220131,20221210
310,0,0,0,0,0,0,0,20220131,20221210
311,0,0,0,0,0,0,0,20220131,20221210
312,0,0,0,0,0,0,0,20220131,20221210
313,0,0,0,0,0,0,0,20220131,20221210
314,0,0,0,0,0,0,0,20220131,20221210
315,0,0,0,0,0,0,0,20220131,20221210
316,0,0,0,0,0,0,0,20220131,20221210
317,0,0,0,0,0,0,0,20220131,20221210
318,0,0,0,0,0,0,0,20220131,20221210
319,1,1,1,1,1,1,0,20220131,20221210
320,1,1,1,1,1,1,0,20220131,20221210
321,1,1,1,1,1,1,1,20220131,20221210
322,0,0,0,0,0,0,0,20220131,20221210
323,0,0,0,0,0,0,0,20220131,20221210
324,1,1,1,1,1,0,0,20220131,20221210
325,1,1,1,1,1,1,0,20220131,20221210
326,0,0,0,0,0,0,1,20220131,20221210
327,1,1,1,1,1,0,0,20220131,20221210
328,1,1,1,1,1,1,1,20220131,20221210
329,0,0,0,0,0,1,0,20220131,20221210
330,1,1,1,1,0,0,0,20220131,20221210
331,0,0,0,0,0,1,1,20220131,20221210
332,1,1,1,1,1,0,0,20220131,20221210
333,0,0,0,0,0,0,0,20220131,20221210
334,0,0,0,0,0,0,0,20220131,20221210
335,1,1,1,1,0,0,0,20220131,20221210
336,0,0,0,0,1,1,0,20220131,20221210
337,0,0,0,0,1,0,0,20220131,20221210
338,0,0,0,0,0,0,0,20220131,20221210
339,0,0,0,0,0,1,1,20220131,20221210
340,0,0,0,1,0,0,0,20220131,20221210
341,1,1,1,1,1,1,0,20220131,20221210
342,1,1,1,1,1,1,0,20220131,20221210
343,0,1,0,0,1,0,0,20220131,20221210
344,0,0,0,0,1,0,0,20220131,20221210
345,0,0,0,0,0,0,0,20220131,20221210
346,1,0,1,0,1,0,0,20220131,20221210
347,0,0,0,0,0,0,0,20220131,20221210
348,0,0,0,0,0,0,0,20220131,20221210
349,0,0,0,0,0,0,0,20220131,20221210
350,0,0,0,0,0,0,0,20220131,20221210
351,0,0,1,0,0,0,0,20220131,20221210
352,1,1,0,1,1,0,1,20220131,20221210
353,1,1,0,1,1,0,0,20220131,20221210
354,0,0,0,0,1,1,0,20220131,20221210
355,1,1,1,1,1,0,0,20220131,20221210
356,0,0,0,0,0,0,0,20220131,20221210
357,0,1,1,1,1,0,0,20220131,20221210
358,0,0,0,0,0,0,0,20220131,20221210
359,0,0,0,0,0,0,0,20220131,20221210
360,0,0,0,0,0,0,0,20220131,20221210
361,0,0,0,0,0,1,1,20220131,20221210
362,0,0,0,0,1,0,0,20220131,20221210
363,0,0,0,0,0,0,0,20220131,20221210
364,0,0,0,0,0,0,0,20220131,20221210
365,1,1,1,1,1,0,0,20220131,20221210
366,0,0,0,0,0,0,0,20220131,20221210
367,0,0,0,0,0,0,0,20220131,20221210
368,0,0,0,0,0,0,0,20220131,20221210
369,0,0,0,0,0,0,0,20220131,20221210
370,1,1,1,1,1,0,0,20220131,20221210
371,0,0,0,0,0,0,0,20220131,20221210
372,0,0,0,0,0,0,0,20220131,20221210
373,0,0,0,0,0,0,0,20220131,20221210
374,0,0,0,0,0,1,0,20220131,20221210
375,0,0,0,0,0,0,0,20220131,20221210
376,1,1,1,1,1,1,0,20220131,20221210
377,1,1,1,1,1,0,0,20220131,20221210
378,1,1,1,1,1,0,0,20220131,20221210
379,0,0,0,0,0,0,0,20220131,20221210
380,0,0,0,0,0,1,0,20220131,20221210
381,0,0,0,0,0,0,0,20220131,20221210
382,1,1,1,1,1,1,0,20220131,20221210
383,1,1,1,1,1,1,0,20220131,20221210
384,1,1,1,1,1,0,0,20220131,20221210
385,0,0,0,0,0,1,0,20220131,20221210
386,0,0,0,0,0,0,0,20220131,20221210
387,0,0,0,0,0,0,0,20220131,20221210
388,1,1,1,1,1,0,0,20220131,20221210
389,0,0,0,0,1,0,0,20220131,20221210
390,1,1,1,1,1,0,0,20220131,20221210
391,0,0,0,1,1,0,0,20220131,20221210
392,1,1,1,1,1,0,0,20220131,20221210
393,0,0,0,0,0,0,0,20220131,20221210
394,0,0,0,0,1,1,1,20220131,20221210
395,0,0,0,0,0,1,1,20220131,20221210
396,1,1,1,1,1,0,0,20220131,20221210
397,0,0,0,0,0,0,0,20220131,20221210
398,0,0,0,0,0,0,0,20220131,20221210
399,0,0,0,0,0,0,0,20220131,20221210
400,0,0,0,0,0,1,0,20220131,20221210
401,0,0,0,0,0,1,1,20220131,20221210
402,0,0,0,0,0,0,1,20220131,20221210
403,0,0,0,0,0,0,0,20220131,20221210
404,1,1,1,0,0,0,0,20220131,20221210
405,1,1,1,1,1,1,0,20220131,20221210
406,0,0,0,0,0,0,0,20220131,20221210
407,0,0,0,0,1,0,0,20220131,20221210
408,0,0,0,0,0,1,0,20220131,20221210
409,1,1,1,1,1,1,0,20220131,20221210
410,1,1,1,1,1,0,0,20220131,20221210
411,1,1,1,1,1,1,1,20220131,20221210
412,1,1,1,1,1,0,0,20220131,20221210
413,0,0,0,0,0,0,0,20220131,20221210
414,0,0,1,1,1,0,0,20220131,20221210
415,1,1,1,1,1,0,0,20220131,20221210
416,0,0,0,0,1,0,0,20220131,20221210
417,0,1,0,0,0,0,0,20220131,20221210
418,0,0,0,0,0,0,0,20220131,20221210
419,0,0,0,0,0,1,1,20220131,20221210
420,0,1,1,1,1,0,0,20220131,20221210
421,0,0,0,0,0,1,0,20220131,20221210
422,1,1,1,1,0,0,0,20220131,20221210
423,0,1,1,0,0,0,0,20220131,20221210
424,1,0,0,1,1,0,0,20220131,20221210
425,1,1,1,1,1,0,0,20220131,20221210
426,0,0,0,0,0,0,0,20220131,20221210
427,1,1,1,1,1,0,0,20220131,20221210
428,1,1,1,1,1,1,0,20220131,20221210
429,1,1,1,1,1,0,1,20220131,20221210
430,0,0,0,0,1,0,0,20220131,20221210
431,1,0,1,0,0,0,0,20220131,20221210
432,0,0,0,0,0,0,0,20220131,20221210
433,1,1,1,1,1,0,0,20220131,20221210
434,1,1,1,1,0,0,0,20220131,20221210
435,1,1,1,1,1,0,0,20220131,20221210
436,0,0,0,0,0,0,0,20220131,20221210
437,1,1,1,1,1,0,0,20220131,20221210
438,1,1,1,1,1,0,0,20220131,20221210
439,0,1,0,1,1,0,0,20220131,20221210
440,1,0,1,0,0,0,0,20220131,20221210
