"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"2794462_3",8583,"446","",3,"","",""
"232707_3",8583,"496","",3,"","",""
"20490_3",8583,"531","",3,"","",""
"20481_3",8583,"519","",3,"","",""
"20479_3",8583,"518","",3,"","",""
"20477_3",8583,"517","",3,"","",""
"20474_3",8583,"515","",3,"","",""
"20473_3",8583,"514","",3,"","",""
"20471_3",8583,"512","",3,"","",""
"20469_3",8583,"511","",3,"","",""
"20467_3",8583,"510","",3,"","",""
"20465_3",8583,"509","",3,"","",""
"20463_3",8583,"508","",3,"","",""
"20460_3",8583,"506","",3,"","",""
"20458_3",8583,"505","",3,"","",""
"20457_3",8583,"504","",3,"","",""
"20455_3",8583,"503","",3,"","",""
"20454_3",8583,"502","",3,"","",""
"20452_3",8583,"501","",3,"","",""
"20446_3",8583,"494","",3,"","",""
"20445_3",8583,"492","",3,"","",""
"20444_3",8583,"491","",3,"","",""
"20443_3",8583,"489","",3,"","",""
"20442_3",8583,"486","",3,"","",""
"20441_3",8583,"484","",3,"","",""
"20440_3",8583,"482","",3,"","",""
"20439_3",8583,"481","",3,"","",""
"20437_3",8583,"479","",3,"","",""
"20434_3",8583,"475","",3,"","",""
"20432_3",8583,"474","",3,"","",""
"20430_3",8583,"473","",3,"","",""
"20428_3",8583,"472","",3,"","",""
"20426_3",8583,"471","",3,"","",""
"20421_3",8583,"469","",3,"","",""
"20419_3",8583,"468","PlusBus Nationalparklinie",3,"","",""
"20417_3",8583,"467","",3,"","",""
"20414_3",8583,"465","",3,"","",""
"20412_3",8583,"464","",3,"","",""
"20411_3",8583,"463","",3,"","",""
"20410_3",8583,"462","",3,"","",""
"20409_3",8583,"460","",3,"","",""
"20407_3",8583,"459","",3,"","",""
"20406_3",8583,"457","",3,"","",""
"20405_3",8583,"456","",3,"","",""
"20404_3",8583,"455","",3,"","",""
"20403_3",8583,"454","",3,"","",""
"20401_3",8583,"453","",3,"","",""
"20399_3",8583,"452","",3,"","",""
"20397_3",8583,"451","",3,"","",""
"20395_3",8583,"450","",3,"","",""
"20394_3",8583,"448","",3,"","",""
"20392_3",8583,"447","",3,"","",""
"20390_3",8583,"445","",3,"","",""
"20386_3",8583,"441","",3,"","",""
"20381_3",8583,"435","",3,"","",""
"20377_3",8583,"432","",3,"","",""
"20375_3",8583,"431","",3,"","",""
"20370_3",8583,"428","",3,"","",""
"20368_3",8583,"427","",3,"","",""
"20367_3",8583,"425","",3,"","",""
"20366_3",8583,"424","",3,"","",""
"20364_3",8583,"421","",3,"","",""
"20361_3",8583,"419","",3,"","",""
"20359_3",8583,"416","",3,"","",""
"20358_3",8583,"414","",3,"","",""
"20357_3",8583,"413","",3,"","",""
"20356_3",8583,"411","",3,"","",""
"20350_3",8583,"403","",3,"","",""
"20347_3",8583,"401","",3,"","",""
"204906_3",8879,"16","",3,"","",""
"144058_0",8879,"2","",0,"","",""
"144058_3",8879,"2","",3,"","",""
"144036_3",8879,"15","",3,"","",""
"144023_3",8879,"14","",3,"","",""
"144008_3",8879,"13","",3,"","",""
"143997_3",8879,"12","",3,"","",""
"143975_3",8879,"11","",3,"","",""
"143954_0",8879,"1","",0,"","",""
"143954_3",8879,"1","",3,"","",""
"144506_3",8882,"365","",3,"","",""
"144505_3",8882,"364","",3,"","",""
"144504_3",8882,"363","",3,"","",""
"144502_3",8882,"362","",3,"","",""
"144500_3",8882,"361","",3,"","",""
"144498_3",8882,"360","",3,"","",""
"144497_3",8882,"359","",3,"","",""
"144495_3",8882,"358","",3,"","",""
"144493_3",8882,"357","",3,"","",""
"144491_3",8882,"356","",3,"","",""
"144489_3",8882,"355","",3,"","",""
"144487_3",8882,"354","",3,"","",""
"144485_3",8882,"353","",3,"","",""
"144483_3",8882,"352","",3,"","",""
"144481_3",8882,"351","",3,"","",""
"144479_3",8882,"350","",3,"","",""
"144465_3",8882,"337","",3,"","",""
"144463_3",8882,"336","",3,"","",""
"144460_3",8882,"335","",3,"","",""
"144458_3",8882,"334","",3,"","",""
"144455_3",8882,"333","",3,"","",""
"144452_3",8882,"332","",3,"","",""
"144259_3",8882,"365","",3,"","",""
"144258_3",8882,"364","",3,"","",""
"144257_3",8882,"363","",3,"","",""
"144255_3",8882,"362","",3,"","",""
"144253_3",8882,"361","",3,"","",""
"144251_3",8882,"360","",3,"","",""
"144249_3",8882,"359","",3,"","",""
"144246_3",8882,"358","",3,"","",""
"144243_3",8882,"357","",3,"","",""
"144240_3",8882,"356","",3,"","",""
"144237_3",8882,"355","",3,"","",""
"144234_3",8882,"354","",3,"","",""
"144231_3",8882,"353","",3,"","",""
"144228_3",8882,"352","",3,"","",""
"144225_3",8882,"351","",3,"","",""
"144222_3",8882,"350","",3,"","",""
"144218_3",8882,"338","",3,"","",""
"144217_3",8882,"337","",3,"","",""
"144216_3",8882,"336","",3,"","",""
"144215_3",8882,"335","",3,"","",""
"144214_3",8882,"334","",3,"","",""
"144213_3",8882,"333","",3,"","",""
"144211_3",8882,"332","",3,"","",""
"144210_3",8882,"331","",3,"","",""
"144208_3",8882,"330","",3,"","",""
"144179_3",8882,"310","",3,"","",""
"144173_3",8882,"307","",3,"","",""
"144171_3",8882,"306","",3,"","",""
"144167_3",8882,"304","",3,"","",""
"144164_3",8882,"303W","",3,"","",""
"144163_3",8882,"303H","",3,"","",""
"144159_3",8882,"302","",3,"","",""
"144155_3",8882,"301","",3,"","",""
"144150_3",8882,"300","",3,"","",""
"3416347_3",7544,"E64","",3,"","",""
"3416346_3",7544,"368E","",3,"","",""
"3416345_3",7544,"AST72","",3,"","",""
"3416344_3",7544,"E45","",3,"","",""
"3416343_3",7544,"E44","",3,"","",""
"3416342_3",7544,"NE5","",3,"","",""
"3416341_3",7544,"NE8","",3,"","",""
"3416340_3",7544,"NE7","",3,"","",""
"3416339_3",7544,"NE18","",3,"","",""
"3416338_3",7544,"NE6","",3,"","",""
"3416337_3",7544,"NE4","",3,"","",""
"3416336_3",7544,"NE3","",3,"","",""
"3416335_3",7544,"NE2","",3,"","",""
"3416334_3",7544,"NE1","",3,"","",""
"3416333_3",7544,"NE17","",3,"","",""
"3416332_3",7544,"NE14","",3,"","",""
"3416331_3",7544,"NE13","",3,"","",""
"3416330_3",7544,"NE12","",3,"","",""
"3416329_3",7544,"NE11","",3,"","",""
"3416328_3",7544,"NE10","",3,"","",""
"3416327_3",7544,"AST97","",3,"","",""
"3416326_3",7544,"AST95","",3,"","",""
"3416325_3",7544,"AST94","",3,"","",""
"3416324_3",7544,"AST63","",3,"","",""
"3416323_3",7544,"AST59","",3,"","",""
"3416322_3",7544,"AST57","",3,"","",""
"3416321_3",7544,"AST26","",3,"","",""
"3416320_3",7544,"AST16","",3,"","",""
"3416319_3",7544,"E87","",3,"","",""
"3416318_3",7544,"E80","",3,"","",""
"3416317_3",7544,"E79","",3,"","",""
"3416316_3",7544,"E78","",3,"","",""
"3416315_3",7544,"E77","",3,"","",""
"3416314_3",7544,"E76","",3,"","",""
"3416313_3",7544,"E67","",3,"","",""
"3416312_3",7544,"E64","",3,"","",""
"3416311_3",7544,"E63","",3,"","",""
"3416310_3",7544,"E62","",3,"","",""
"3416309_3",7544,"E57","",3,"","",""
"3416308_3",7544,"E55","",3,"","",""
"3416307_3",7544,"E53","",3,"","",""
"3416306_3",7544,"E52","",3,"","",""
"3416305_3",7544,"E51","",3,"","",""
"3416304_3",7544,"E50","",3,"","",""
"3416303_3",7544,"E48","",3,"","",""
"3416302_3",7544,"E43","",3,"","",""
"3416301_3",7544,"E41","",3,"","",""
"3416300_3",7544,"E30","",3,"","",""
"3416299_3",7544,"E28","",3,"","",""
"3416298_3",7544,"E21","",3,"","",""
"3416297_3",7544,"E20","",3,"","",""
"3416296_3",7544,"E18","",3,"","",""
"3416295_3",7544,"E13","",3,"","",""
"3416294_3",7544,"E09","",3,"","",""
"3416293_3",7544,"E08","",3,"","",""
"3416292_3",7544,"E06","",3,"","",""
"3416291_3",7544,"E04","",3,"","",""
"3416290_3",7544,"E02","",3,"","",""
"3416289_3",7544,"E99","",3,"","",""
"3416288_3",7544,"E98","",3,"","",""
"3416287_3",7544,"E91","",3,"","",""
"3416286_3",7544,"E90","",3,"","",""
"3416285_3",7544,"E87","",3,"","",""
"3416284_3",7544,"E86","",3,"","",""
"3416283_3",7544,"E84","",3,"","",""
"3416282_3",7544,"E83","",3,"","",""
"3416281_3",7544,"E82","",3,"","",""
"3416280_3",7544,"E81","",3,"","",""
"3416279_3",7544,"E80","",3,"","",""
"3416278_3",7544,"E79","",3,"","",""
"3416277_3",7544,"E78","",3,"","",""
"3416276_3",7544,"376E","",3,"","",""
"3416275_3",7544,"375E","",3,"","",""
"3416274_3",7544,"E61","",3,"","",""
"3416273_3",7544,"557","",3,"","",""
"3416272_3",7544,"E47","",3,"","",""
"3416271_3",7544,"E45","",3,"","",""
"3416270_3",7544,"E34","",3,"","",""
"3416269_3",7544,"320E","",3,"","",""
"3416268_3",7544,"E99","",3,"","",""
"3416267_3",7544,"E88","",3,"","",""
"3416266_3",7544,"E86","",3,"","",""
"3416265_3",7544,"E85","",3,"","",""
"3416264_3",7544,"E82","",3,"","",""
"3416263_3",7544,"E81","",3,"","",""
"3416262_3",7544,"E48","",3,"","",""
"3416261_3",7544,"E46","",3,"","",""
"3416260_3",7544,"E43","",3,"","",""
"3416259_3",7544,"E41","",3,"","",""
"3416258_3",7544,"E39","",3,"","",""
"3416257_3",7544,"E38","",3,"","",""
"3416256_3",7544,"E37","",3,"","",""
"3416255_3",7544,"E36","",3,"","",""
"3416254_3",7544,"E35","",3,"","",""
"3416253_3",7544,"E34","",3,"","",""
"3416252_3",7544,"E33","",3,"","",""
"3416251_3",7544,"E32","",3,"","",""
"3416250_3",7544,"E31","",3,"","",""
"3416249_3",7544,"399","",3,"","",""
"3416248_3",7544,"398","",3,"","",""
"3416247_3",7544,"397","",3,"","",""
"3416246_3",7544,"396","",3,"","",""
"3416245_3",7544,"395","",3,"","",""
"3416244_3",7544,"392","",3,"","",""
"3416243_3",7544,"390","",3,"","",""
"3416242_3",7544,"389","",3,"","",""
"3416241_3",7544,"388","",3,"","",""
"3416240_3",7544,"386","",3,"","",""
"3416239_3",7544,"385","",3,"","",""
"3416238_3",7544,"384","",3,"","",""
"3416237_3",7544,"383","",3,"","",""
"3416236_3",7544,"382","",3,"","",""
"3416235_3",7544,"381","",3,"","",""
"3416234_3",7544,"380","",3,"","",""
"3416233_3",7544,"379","",3,"","",""
"3416232_3",7544,"378","",3,"","",""
"3416231_3",7544,"376","",3,"","",""
"3416230_3",7544,"375","",3,"","",""
"3416229_3",7544,"374","",3,"","",""
"3416228_3",7544,"372","",3,"","",""
"3416227_3",7544,"370","",3,"","",""
"3416226_3",7544,"369","",3,"","",""
"3416225_3",7544,"368","",3,"","",""
"3416224_3",7544,"366","",3,"","",""
"3416223_3",7544,"365","",3,"","",""
"3416222_3",7544,"364","",3,"","",""
"3416221_3",7544,"363","",3,"","",""
"3416220_3",7544,"359","",3,"","",""
"3416219_3",7544,"358","",3,"","",""
"3416218_3",7544,"357","",3,"","",""
"3416217_3",7544,"356","",3,"","",""
"3416216_3",7544,"355","",3,"","",""
"3416215_3",7544,"354","",3,"","",""
"3416214_3",7544,"353","",3,"","",""
"3416213_3",7544,"352","",3,"","",""
"3416212_3",7544,"350","",3,"","",""
"3416211_3",7544,"349","",3,"","",""
"3416210_3",7544,"348","",3,"","",""
"3416209_3",7544,"346","",3,"","",""
"3416208_3",7544,"345","",3,"","",""
"3416207_3",7544,"344","",3,"","",""
"3416206_3",7544,"342","",3,"","",""
"3416205_3",7544,"340","",3,"","",""
"3416204_3",7544,"339","",3,"","",""
"3416203_3",7544,"336","",3,"","",""
